,country,year,sex,suicides_no,population,rate
0,Albania,1987,female,25,1316900,1.8983977522970612
1,Albania,1987,male,48,1392700,3.4465426868672364
2,Albania,1988,female,22,1343600,1.637392080976481
3,Albania,1988,male,41,1420700,2.8859013162525518
4,Albania,1989,female,15,1363300,1.1002714002787355
5,Albania,1989,male,53,1439800,3.6810668148353938
6,Albania,1992,female,14,1423200,0.983698707138842
7,Albania,1992,male,33,1399300,2.358322018151933
8,Albania,1993,female,27,1427400,1.8915510718789408
9,Albania,1993,male,46,1379900,3.333574896731647
10,Albania,1994,female,15,1445100,1.0379904504878554
11,Albania,1994,male,35,1404200,2.4925224327018944
12,Albania,1995,female,34,1473800,2.30696159587461
13,Albania,1995,male,54,1429600,3.7772803581421375
14,Albania,1996,female,39,1496000,2.606951871657754
15,Albania,1996,male,50,1444200,3.4621243595069937
16,Albania,1997,female,52,1528900,3.4011380731244687
17,Albania,1997,male,118,1448400,8.146920740127037
18,Albania,1998,female,58,1537300,3.7728485006179664
19,Albania,1998,male,96,1475400,6.506710044733632
20,Albania,1999,female,48,1543300,3.1102183632475864
21,Albania,1999,male,91,1486400,6.122174381054898
22,Albania,2000,female,16,1372400,1.1658408627222385
23,Albania,2000,male,38,1423900,2.6687267364281198
24,Albania,2001,female,35,1408730,2.484507322198008
25,Albania,2001,male,84,1390619,6.040475500478564
26,Albania,2002,female,42,1418737,2.960379548852254
27,Albania,2002,male,91,1400102,6.499526463071976
28,Albania,2003,female,51,1431674,3.562263476182427
29,Albania,2003,male,73,1412255,5.169038169452401
30,Albania,2004,female,57,1447609,3.9375273295482414
31,Albania,2004,male,89,1427382,6.235191420376606
32,Albania,2005,female,0,1399928,0.0
33,Albania,2005,male,0,1383392,0.0
34,Albania,2006,female,0,1397509,0.0
35,Albania,2006,male,0,1382667,0.0
36,Albania,2007,female,47,1391852,3.376795808749781
37,Albania,2007,male,77,1378492,5.585814063483865
38,Albania,2008,female,61,1384673,4.405372243121661
39,Albania,2008,male,99,1372386,7.213713925965435
40,Albania,2009,female,0,1378059,0.0
41,Albania,2009,male,0,1367676,0.0
42,Albania,2010,female,35,1371628,2.55171227184047
43,Albania,2010,male,61,1364397,4.470839499060757
44,Antigua and Barbuda,1985,female,0,32292,0.0
45,Antigua and Barbuda,1985,male,0,30282,0.0
